Player,Position,Team,ADP,ADP_StdDev
Jahmyr Gibbs,RB,DET,2,0.96
Bijan Robinson,RB,ATL,2,0.84
Ja'Marr Chase,WR,CIN,3,1.01
Puka Nacua,WR,LAR,4,1.04
Jaxon Smith-Njigba,WR,SEA,5,1.07
Christian McCaffrey,RB,SF,6,1.62
Jonathan Taylor,RB,IND,8,1.83
Amon-Ra St. Brown,WR,DET,8,1.41
CeeDee Lamb,WR,DAL,10,1.57
Justin Jefferson,WR,MIN,10,2.36
James Cook III,RB,BUF,11,2.21
Ashton Jeanty,RB,LV,12,2.91
De'Von Achane,RB,MIA,14,2.98
Drake London,WR,ATL,14,2.41
Saquon Barkley,RB,PHI,17,2.47
Nico Collins,WR,HOU,17,3.33
Chase Brown,RB,CIN,18,3.97
Brock Bowers,TE,LV,19,3.29
Omarion Hampton,RB,LAC,19,2.74
A.J. Brown,WR,NE,21,4.29
Kenneth Walker III,RB,KC,21,3.81
Derrick Henry,RB,BAL,22,4.03
Trey McBride,TE,ARI,23,3.98
George Pickens,WR,DAL,23,3.62
Chris Olave,WR,NO,26,4.64
Jeremiyah Love,RB,ARI,27,4.03
Malik Nabers,WR,NYG,27,6.54
Rashee Rice,WR,KC,28,5.34
Josh Allen,QB,BUF,29,3.96
Kyren Williams,RB,LAR,32,4.68
DeVonta Smith,WR,PHI,32,3.27
Tetairoa McMillan,WR,CAR,34,5.11
Breece Hall,RB,NYJ,34,4.6
Josh Jacobs,RB,GB,35,6.21
Javonte Williams,RB,DAL,35,6.74
Lamar Jackson,QB,BAL,37,6.41
Tee Higgins,WR,CIN,39,4.39
Travis Etienne Jr.,RB,NO,39,4.95
Zay Flowers,WR,BAL,39,5.67
Colston Loveland,TE,CHI,40,6.36
Emeka Egbuka,WR,TB,41,7.08
Ladd McConkey,WR,LAC,41,6.92
Drake Maye,QB,NE,42,7.28
Garrett Wilson,WR,NYJ,42,4.89
Cam Skattebo,RB,NYG,47,5.69
Bucky Irving,RB,TB,49,6.75
Luther Burden III,WR,CHI,49,4.86
Terry McLaurin,WR,WAS,50,6.06
Joe Burrow,QB,CIN,50,8.78
Jaylen Waddle,WR,DEN,50,8.06
Quinshon Judkins,RB,CLE,50,6.67
Davante Adams,WR,LAR,54,6.47
TreVeyon Henderson,RB,NE,54,6.61
D'Andre Swift,RB,CHI,55,5.59
DJ Moore,WR,BUF,56,7.45
David Montgomery,RB,HOU,56,6.1
Mike Evans,WR,SF,57,6.31
Jameson Williams,WR,DET,58,7.14
Tyler Warren,TE,IND,60,7.87
Christian Watson,WR,GB,60,9.16
Jayden Daniels,QB,WAS,61,8.2
Bhayshul Tuten,RB,JAC,61,6.29
Jadarian Price,RB,SEA,63,7.71
Jalen Hurts,QB,PHI,63,10.44
Rome Odunze,WR,CHI,64,6.46
Tucker Kraft,TE,GB,66,11.88
Caleb Williams,QB,CHI,68,10.17
Carnell Tate,WR,TEN,69,7.32
Chuba Hubbard,RB,CAR,70,7.25
Jaylen Warren,RB,PIT,71,6.6
Brian Thomas Jr.,WR,JAC,75,8.7
Rhamondre Stevenson,RB,NE,77,7.07
Marvin Harrison Jr.,WR,ARI,77,6.11
RJ Harvey,RB,DEN,77,9.68
Tony Pollard,RB,TEN,77,7.78
Alec Pierce,WR,IND,78,7.1
Justin Herbert,QB,LAC,78,17.01
Rico Dowdle,RB,PIT,78,8.57
Courtland Sutton,WR,DEN,82,12.07
DK Metcalf,WR,PIT,82,12.56
Jordyn Tyson,WR,NO,82,11.99
Dak Prescott,QB,DAL,85,23.66
Harold Fannin Jr.,TE,CLE,85,20.55
Kyle Monangai,RB,CHI,85,6.59
Michael Wilson,WR,ARI,86,13.76
Parker Washington,WR,JAC,87,11.87
Blake Corum,RB,LAR,88,6.92
Makai Lemon,WR,PHI,89,11.69
Chris Godwin Jr.,WR,TB,89,11.24
J.K. Dobbins,RB,DEN,91,10.79
Trevor Lawrence,QB,JAC,91,22.39
Kenneth Gainwell,RB,TB,94,7.4
Jakobi Meyers,WR,JAC,95,14.76
Michael Pittman Jr.,WR,PIT,96,12.28
Jayden Reed,WR,GB,97,14.72
Aaron Jones Sr.,RB,MIN,97,6.87
Jaxson Dart,QB,NYG,99,33.39
Rachaad White,RB,WAS,100,7.21
Ricky Pearsall,WR,SF,101,14.31
Quentin Johnston,WR,LAC,101,10.94
Jacory Croskey-Merritt,RB,WAS,101,11.01
Jonathon Brooks,RB,CAR,102,9.74
Wan'Dale Robinson,WR,TEN,103,16.83
Jordan Addison,WR,MIN,103,12.82
Sam LaPorta,TE,DET,105,21.76
Josh Downs,WR,IND,107,12.77
Jordan Mason,RB,MIN,107,10.73
