Player,Position,Team,ADP,ADP_StdDev
Josh Allen,QB,BUF,1.0,0.39
Lamar Jackson,QB,BAL,2.0,0.8
Drake Maye,QB,NE,4.0,1.55
Joe Burrow,QB,CIN,5.0,2.31
Jalen Hurts,QB,PHI,6.0,2.25
Jahmyr Gibbs,RB,DET,7.0,2.97
Jayden Daniels,QB,WAS,7.0,2.61
Bijan Robinson,RB,ATL,8.0,2.2
Caleb Williams,QB,CHI,10.0,8.25
Ja'Marr Chase,WR,CIN,11.0,2.89
Justin Herbert,QB,LAC,13.0,4.56
Puka Nacua,WR,LAR,13.0,3.2
Christian McCaffrey,RB,SF,15.0,3.97
Jaxon Smith-Njigba,WR,SEA,15.0,2.54
Trevor Lawrence,QB,JAC,16.0,5.16
Jonathan Taylor,RB,IND,17.0,3.26
Jaxson Dart,QB,NYG,17.0,5
Amon-Ra St. Brown,WR,DET,18.0,2.58
Dak Prescott,QB,DAL,18.0,5.73
CeeDee Lamb,WR,DAL,21.0,2.86
Brock Purdy,QB,SF,22.0,7.71
Justin Jefferson,WR,MIN,22.0,3.52
James Cook III,RB,BUF,22.0,3.71
Ashton Jeanty,RB,LV,24.0,4.23
De'Von Achane,RB,MIA,25.0,5.9
Patrick Mahomes II,QB,KC,27.0,5.87
Matthew Stafford,QB,LAR,28.0,6.76
Drake London,WR,ATL,28.0,4.74
Saquon Barkley,RB,PHI,30.0,4.16
Omarion Hampton,RB,LAC,32.0,4.02
Chase Brown,RB,CIN,33.0,4.68
Nico Collins,WR,HOU,33.0,5.4
Jared Goff,QB,DET,34.0,8.08
Bo Nix,QB,DEN,34.0,5.75
Brock Bowers,TE,LV,36.0,3.96
A.J. Brown,WR,NE,36.0,5.31
Derrick Henry,RB,BAL,37.0,6.05
Kenneth Walker III,RB,KC,38.0,5.31
Kyler Murray,QB,MIN,38.0,7.77
George Pickens,WR,DAL,40.0,5.8
Chris Olave,WR,NO,41.0,4.31
Trey McBride,TE,ARI,42.0,7.21
Jeremiyah Love,RB,ARI,43.0,5.95
Malik Nabers,WR,NYG,43.0,9.13
Rashee Rice,WR,KC,44.0,6.81
DeVonta Smith,WR,PHI,48.0,4.83
Kyren Williams,RB,LAR,50.0,4.77
Josh Jacobs,RB,GB,50.0,8.48
Javonte Williams,RB,DAL,52.0,8.88
Breece Hall,RB,NYJ,52.0,4.99
Tetairoa McMillan,WR,CAR,53.0,5.87
Baker Mayfield,QB,TB,54.0,18.25
Tee Higgins,WR,CIN,55.0,6.22
Zay Flowers,WR,BAL,55.0,7.53
Jordan Love,QB,GB,56.0,9.43
Travis Etienne Jr.,RB,NO,57.0,6.24
Emeka Egbuka,WR,TB,58.0,5.85
Garrett Wilson,WR,NYJ,58.0,7.12
Ladd McConkey,WR,LAC,58.0,8.64
Tyler Shough,QB,NO,59.0,12.91
Cam Skattebo,RB,NYG,62.0,6.72
Jaylen Waddle,WR,DEN,62.0,10.17
Colston Loveland,TE,CHI,63.0,10.43
Bucky Irving,RB,TB,65.0,9.79
Luther Burden III,WR,CHI,65.0,6.48
Malik Willis,QB,MIA,66.0,18.09
Terry McLaurin,WR,WAS,67.0,7.64
Davante Adams,WR,LAR,68.0,5.58
Quinshon Judkins,RB,CLE,69.0,9.96
Jameson Williams,WR,DET,71.0,6.11
DJ Moore,WR,BUF,71.0,7.61
Christian Watson,WR,GB,72.0,10.28
Mike Evans,WR,SF,73.0,7.12
D'Andre Swift,RB,CHI,73.0,7.79
David Montgomery,RB,HOU,74.0,7.57
TreVeyon Henderson,RB,NE,75.0,6.45
Rome Odunze,WR,CHI,78.0,5.96
Bhayshul Tuten,RB,JAC,78.0,8.25
Tyler Warren,TE,IND,80.0,12.61
Jadarian Price,RB,SEA,82.0,8.39
Sam Darnold,QB,SEA,84.0,22.95
Chuba Hubbard,RB,CAR,84.0,10.87
Tucker Kraft,TE,GB,84.0,18.33
Carnell Tate,WR,TEN,85.0,9.6
C.J. Stroud,QB,HOU,87.0,19.94
Jaylen Warren,RB,PIT,88.0,5.98
Rico Dowdle,RB,PIT,91.0,6.41
Brian Thomas Jr.,WR,JAC,91.0,9.94
Tony Pollard,RB,TEN,92.0,4.7
RJ Harvey,RB,DEN,92.0,7.43
Rhamondre Stevenson,RB,NE,92.0,5.39
Marvin Harrison Jr.,WR,ARI,92.0,9.14
Alec Pierce,WR,IND,92.0,9.42
Jordyn Tyson,WR,NO,95.0,7.71
Courtland Sutton,WR,DEN,98.0,10.23
DK Metcalf,WR,PIT,99.0,12.59
Kyle Monangai,RB,CHI,99.0,6.64
Blake Corum,RB,LAR,100.0,6.35
J.K. Dobbins,RB,DEN,101.0,5.93
Parker Washington,WR,JAC,101.0,7.38
Cam Ward,QB,TEN,101.0,36.21
Kenneth Gainwell,RB,TB,105.0,7.95
Aaron Jones Sr.,RB,MIN,106.0,7.32
Michael Wilson,WR,ARI,107.0,11.87
Makai Lemon,WR,PHI,109.0,6.16
Jacory Croskey-Merritt,RB,WAS,109.0,10.63
Rachaad White,RB,WAS,110.0,9.22
Jonathon Brooks,RB,CAR,111.0,8.65
Chris Godwin Jr.,WR,TB,113.0,11.46
Jakobi Meyers,WR,JAC,115.0,13.83
Tyler Allgeier,RB,ARI,116.0,10.31
Jordan Mason,RB,MIN,116.0,8.73
Tyrone Tracy Jr.,RB,NYG,117.0,10.35
Woody Marks,RB,HOU,118.0,10.8
Jayden Reed,WR,GB,118.0,11.52
Zach Charbonnet,RB,SEA,118.0,10.68
Chris Rodriguez Jr.,RB,JAC,118.0,9.52
Harold Fannin Jr.,TE,CLE,118.0,33.83
Daniel Jones,QB,IND,121.0,27.09
Sam LaPorta,TE,DET,122.0,24.03
Quentin Johnston,WR,LAC,124.0,14.28
Michael Pittman Jr.,WR,PIT,125.0,12.38
Jordan Addison,WR,MIN,126.0,15.48
