Player,Position,Team,Pass_Yds,Pass_TD,Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Games_Pass_300,Games_Pass_400,Games_Comb_100,Games_Comb_200,Pass_40p,Rush_40p,Rec_20p
Josh Allen,QB,BUF,3650,27,0,535,11,0,0,0,6,1,0,0,12,2,0
Drake Maye,QB,NE,3854,29,0,416,4,0,0,0,6,1,0,0,12,1,0
Lamar Jackson,QB,BAL,3380,27,0,668,4,0,0,0,4,1,0,0,10,1,0
Jayden Daniels,QB,WAS,3353,22,0,686,6,0,0,0,4,1,0,0,10,1,0
Jalen Hurts,QB,PHI,3326,21,0,515,9,0,0,0,4,1,0,0,9,0,0
Joe Burrow,QB,CIN,4008,33,0,138,2,0,0,0,4,1,0,0,8,0,0
Dak Prescott,QB,DAL,4292,31,0,152,1,0,0,0,3,0,0,0,8,0,0
Trevor Lawrence,QB,JAX,3788,26,0,339,5,0,0,0,3,0,0,0,8,0,0
Justin Herbert,QB,LAC,3920,27,0,345,3,0,0,0,2,0,0,0,8,0,0
Jaxson Dart,QB,NYG,3366,23,0,539,6,0,0,0,2,0,0,0,8,0,0
Caleb Williams,QB,CHI,3651,28,0,373,3,0,0,0,2,0,0,0,7,0,0
Bo Nix,QB,DEN,3768,26,0,330,4,0,0,0,2,0,0,0,7,0,0
Brock Purdy,QB,SF,3824,29,0,237,3,0,0,0,2,0,0,0,7,0,0
Jared Goff,QB,DET,4104,30,0,53,1,0,0,0,2,0,0,0,7,0,0
Jordan Love,QB,GB,3808,28,0,202,2,0,0,0,2,0,0,0,7,0,0
Matthew Stafford,QB,LAR,4033,32,0,19,0,0,0,0,2,0,0,0,7,0,0
Patrick Mahomes II,QB,KC,3773,28,0,227,1,0,0,0,2,0,0,0,6,0,0
Baker Mayfield,QB,TB,3682,26,0,306,2,0,0,0,2,0,0,0,6,0,0
Kyler Murray,QB,MIN,3285,20,0,488,3,0,0,0,2,0,0,0,6,0,0
