Player,Position,Team,Pass_Yds,Pass_TD,Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD
Josh Allen,QB,BUF,"3,828.20",28.1,12.3,594.2,11.7,0,0,0
Jayden Daniels,QB,WAS,"3,658.70",24.7,11,707.9,5.1,0,0,0
Drake Maye,QB,NE,"4,022.30",28,11.1,541.8,4,0,0,0
Lamar Jackson,QB,BAL,"3,623.30",29.5,10.4,636.7,3.3,0,0,0
Jalen Hurts,QB,PHI,"3,578.60",24.8,7.6,463.9,8.6,0,0,0
Jaxson Dart,QB,NYG,"3,602.50",23.5,12.1,542.1,6.8,0,0,0
Brock Purdy,QB,SF,"4,148.40",28.5,14.9,313.1,4.3,0,0,0
Joe Burrow,QB,CIN,"4,196.70",33.5,12.5,177,1.5,0,0,0
Dak Prescott,QB,DAL,"4,272.10",31.3,12,179.5,2.1,0,0,0
Trevor Lawrence,QB,JAC,"3,862.90",27.4,14,331.2,5.4,0,0,0
Patrick Mahomes II,QB,KC,"3,833.90",27.6,11.8,381.2,3.6,0,0,0
Justin Herbert,QB,LAC,"3,813.70",26.8,12,475,2.2,0,0,0
Caleb Williams,QB,CHI,"3,804.00",27.6,10,391.4,2.1,0,0,0
Matthew Stafford,QB,LAR,"4,166.50",34.5,8.3,38.7,0.3,0,0,0
Bo Nix,QB,DEN,"3,692.60",26.7,10.6,330.7,3.5,0,0,0
Baker Mayfield,QB,TB,"3,877.30",26.8,12.8,360.1,1.7,0,0,0
Jared Goff,QB,DET,"4,220.10",31.5,10,46.7,0.3,0,0,0
Daniel Jones,QB,IND,"3,797.90",24.8,11.1,237.7,4.5,0,0,0
Tyler Shough,QB,NO,"3,938.50",22.1,12.6,305.1,4.1,0,0,0
Malik Willis,QB,MIA,"3,325.70",19.5,13.7,634.1,4.2,0,0,0
Kyler Murray,QB,MIN,"3,374.10",23.2,15.5,466.7,3.6,0,0,0
C.J. Stroud,QB,HOU,"3,937.00",24.7,12,249,1,0,0,0
Jordan Love,QB,GB,"3,833.20",27,10.4,199.4,0.5,0,0,0
Sam Darnold,QB,SEA,"4,068.80",28,12.7,135.2,0.4,0,0,0
Bryce Young,QB,CAR,"3,416.10",22.2,13.6,271.7,3.1,0,0,0
Jacoby Brissett,QB,ARI,"3,565.60",20,10.6,234.1,1.7,0,0,0
Geno Smith,QB,NYJ,"3,374.20",22.7,15.2,236,1,0,0,0
Cam Ward,QB,TEN,"3,550.70",20.2,10.2,174.7,2.5,0,0,0
Aaron Rodgers,QB,PIT,"3,397.20",21,10.1,83.2,0.9,0,0,0
Fernando Mendoza,QB,LV,"2,842.80",16.6,13.2,232.1,1.5,0,0,0
Tua Tagovailoa,QB,ATL,"2,811.40",17.2,9,48.9,0.1,0,0,0
Deshaun Watson,QB,CLE,"2,013.80",10.7,7.5,201.4,1.5,0,0,0
Shedeur Sanders,QB,CLE,"1,473.60",8.1,5.8,124.6,0.8,0,0,0
Michael Penix Jr.,QB,ATL,"1,246.60",6.7,3.6,47.4,0.5,0,0,0
Kirk Cousins,QB,LV,752.4,4.6,3.3,10.1,0.1,0,0,0
Jahmyr Gibbs,RB,DET,0,0,0,"1,358.80",14.7,70.4,584.8,4.2
Bijan Robinson,RB,ATL,0,0,0,"1,438.60",9.2,77.3,752.8,4.2
Jonathan Taylor,RB,IND,0,0,0,"1,545.60",13.3,47.7,345.6,1.6
Derrick Henry,RB,BAL,0,0,0,"1,565.70",14,18.7,186.2,1.1
Christian McCaffrey,RB,SF,0,0,0,"1,044.10",8.8,73.9,657.1,5
De'Von Achane,RB,MIA,0,0,0,"1,238.60",6.1,69.9,529.9,4.5
James Cook III,RB,BUF,0,0,0,"1,415.80",10,34,285.1,1.8
Josh Jacobs,RB,GB,0,0,0,"1,163.60",13,36,287.6,1.3
Saquon Barkley,RB,PHI,0,0,0,"1,348.70",7.8,42.1,341.6,2.1
Ashton Jeanty,RB,LV,0,0,0,"1,092.70",8.6,59.9,417.6,4
Chase Brown,RB,CIN,0,0,0,"1,025.60",8.2,68.1,453.1,3.9
Breece Hall,RB,NYJ,0,0,0,"1,157.00",7.3,47.5,415.4,2.3
Omarion Hampton,RB,LAC,0,0,0,"1,044.90",10.4,51.5,346.5,1.9
Kyren Williams,RB,LAR,0,0,0,"1,123.50",10.4,33.7,236.9,2.3
Javonte Williams,RB,DAL,0,0,0,"1,173.10",10.5,33.1,179.8,1.3
Jeremiyah Love,RB,ARI,0,0,0,"1,077.50",7.3,53.5,420.7,2.1
Kenneth Walker III,RB,KC,0,0,0,"1,149.20",8,46.6,359.3,0.8
Cam Skattebo,RB,NYG,0,0,0,"1,000.30",8.1,45.6,363,2.8
Travis Etienne Jr.,RB,NO,0,0,0,"1,054.20",5.5,45.8,367.1,3.5
D'Andre Swift,RB,CHI,0,0,0,"1,055.20",8.6,32.7,291.8,1.1
Bucky Irving,RB,TB,0,0,0,"1,043.00",5.9,41.4,356,2.4
Quinshon Judkins,RB,CLE,0,0,0,"1,107.40",8.6,31.9,225,0.4
Bhayshul Tuten,RB,JAC,0,0,0,961.3,8.8,24.9,188.5,2.2
Jadarian Price,RB,SEA,0,0,0,949.3,8.4,23.5,217.1,1.1
TreVeyon Henderson,RB,NE,0,0,0,901.9,7.4,38.6,253.8,1.3
Rico Dowdle,RB,PIT,0,0,0,947,6.7,33.1,237.5,1
David Montgomery,RB,HOU,0,0,0,937,7.5,28.8,217.5,0.3
Tony Pollard,RB,TEN,0,0,0,"1,034.50",6.3,31.9,198,0.2
Rhamondre Stevenson,RB,NE,0,0,0,733.3,6.8,36.1,323.7,1.9
J.K. Dobbins,RB,DEN,0,0,0,"1,046.10",6.4,18.6,89.4,0.3
Chuba Hubbard,RB,CAR,0,0,0,828.2,5.2,37.4,260.4,2.2
Jaylen Warren,RB,PIT,0,0,0,810.3,5.2,42.5,316.9,1.2
Kyle Monangai,RB,CHI,0,0,0,837.9,5.7,24.3,208,0.6
Jacory Croskey-Merritt,RB,WAS,0,0,0,853.1,7.7,11.3,81,0.2
RJ Harvey,RB,DEN,0,0,0,506.3,4.9,47.9,353.3,3.8
Aaron Jones Sr.,RB,MIN,0,0,0,721.8,3.4,43,321,2
Rachaad White,RB,WAS,0,0,0,638.3,5.5,36.5,234.5,1.4
Jordan Mason,RB,MIN,0,0,0,826.2,6.2,15.7,82.7,0.2
Blake Corum,RB,LAR,0,0,0,798.3,6.4,11.3,76.1,0.3
Kenneth Gainwell,RB,TB,0,0,0,508.3,4.2,56,390,2
Jonathon Brooks,RB,CAR,0,0,0,712.1,4.3,24.2,194.9,1.1
Zach Charbonnet,RB,SEA,0,0,0,530,6.9,20.2,152.9,0.2
Woody Marks,RB,HOU,0,0,0,569.6,3,22.6,189.6,2.2
Isiah Pacheco,RB,DET,0,0,0,627.2,3.8,21.6,134.7,0.9
Tyjae Spears,RB,TEN,0,0,0,379.5,3.4,49.8,330.8,1.3
Tyrone Tracy Jr.,RB,NYG,0,0,0,514,2.2,23.5,182.4,1.3
Alvin Kamara,RB,NO,0,0,0,481.2,2.2,35.2,232.3,0.9
Chris Rodriguez Jr.,RB,JAC,0,0,0,551.7,5.2,3.1,25.7,0.1
Brian Robinson Jr.,RB,ATL,0,0,0,563.9,4.3,6.9,43.2,0.1
Tyler Allgeier,RB,ARI,0,0,0,428,4.7,17,108.5,0.2
Justice Hill,RB,BAL,0,0,0,273.5,2.2,34.7,303,1.8
AJ Dillon,RB,CAR,0,0,0,509,3,16,136,1
Braelon Allen,RB,NYJ,0,0,0,427.4,4.3,12.9,93.7,0.7
Samaje Perine,RB,CIN,0,0,0,442.7,3.7,17.9,135.6,0.4
Jordan James,RB,SF,0,0,0,416.5,3.2,16.1,148.3,0.7
Dylan Sampson,RB,CLE,0,0,0,258.6,1.5,33.8,268.9,2.1
Ty Johnson,RB,BUF,0,0,0,221.6,2.1,22.8,241.5,2.2
Kaelon Black,RB,SF,0,0,0,388.1,3.2,8.6,79.4,0.6
Emari Demercado,RB,KC,0,0,0,425.9,1.7,16.3,119,0.8
Tank Bigsby,RB,PHI,0,0,0,419.4,3.2,3.3,29.3,0.1
Mike Washington Jr.,RB,LV,0,0,0,352.5,2.1,15.2,121.4,0.6
